2026-03-23 12:58:22 | INFO | case=54 | id=mass_5/html/0230-01.html | n_tokens=1982 | text=7.35KB | kv_est=619.38MB | pt=0.00B | kv_time=1.946s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:24 | INFO | case=55 | id=mass_5/html/0233-01.html | n_tokens=1405 | text=5.44KB | kv_est=439.06MB | pt=0.00B | kv_time=1.384s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:26 | INFO | case=56 | id=mass_5/html/0235-01.html | n_tokens=1810 | text=6.90KB | kv_est=565.62MB | pt=0.00B | kv_time=1.778s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:26 | INFO | case=57 | id=mass_5/html/0238-01.html | n_tokens=588 | text=1.99KB | kv_est=183.75MB | pt=0.00B | kv_time=0.628s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:27 | INFO | case=58 | id=mass_5/html/0239-01.html | n_tokens=1269 | text=4.52KB | kv_est=396.56MB | pt=0.00B | kv_time=1.220s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:28 | INFO | case=59 | id=mass_5/html/0241-01.html | n_tokens=909 | text=3.32KB | kv_est=284.06MB | pt=0.00B | kv_time=0.943s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:31 | INFO | case=60 | id=mass_5/html/0242-01.html | n_tokens=2239 | text=8.39KB | kv_est=699.69MB | pt=0.00B | kv_time=2.203s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:31 | INFO | case=61 | id=mass_5/html/0246-01.html | n_tokens=598 | text=2.22KB | kv_est=186.88MB | pt=0.00B | kv_time=0.630s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:31 | INFO | case=62 | id=mass_5/html/0247-01.html | n_tokens=187 | text=686.00B | kv_est=58.44MB | pt=0.00B | kv_time=0.211s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:32 | INFO | case=63 | id=mass_5/html/0247-02.html | n_tokens=280 | text=1.04KB | kv_est=87.50MB | pt=0.00B | kv_time=0.345s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:33 | INFO | case=64 | id=mass_5/html/0248-01.html | n_tokens=1516 | text=5.72KB | kv_est=473.75MB | pt=0.00B | kv_time=1.532s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:34 | INFO | case=65 | id=mass_5/html/0251-01.html | n_tokens=580 | text=2.04KB | kv_est=181.25MB | pt=0.00B | kv_time=0.628s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:35 | INFO | case=66 | id=mass_5/html/0252-01.html | n_tokens=1052 | text=4.27KB | kv_est=328.75MB | pt=0.00B | kv_time=1.124s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:36 | INFO | case=67 | id=mass_5/html/0254-01.html | n_tokens=890 | text=3.39KB | kv_est=278.12MB | pt=0.00B | kv_time=0.899s | gpu_alloc=30.45GB gpu_reserved=30.45GB
