2026-03-23 18:50:16 | INFO | case=67 | id=mass_56/html/0544-01.html | n_tokens=3562 | text=14.21KB | kv_est=1.09GB | pt=1.09GB | kv_time=4.232s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:18 | INFO | case=68 | id=mass_56/html/0551-01.html | n_tokens=1317 | text=5.08KB | kv_est=411.56MB | pt=411.58MB | kv_time=1.604s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:19 | INFO | case=69 | id=mass_56/html/0553-01.html | n_tokens=744 | text=2.67KB | kv_est=232.50MB | pt=232.52MB | kv_time=0.935s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:20 | INFO | case=70 | id=mass_56/html/0555-01.html | n_tokens=720 | text=2.62KB | kv_est=225.00MB | pt=225.02MB | kv_time=0.896s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:21 | INFO | case=71 | id=mass_56/html/0556-01.html | n_tokens=1254 | text=4.71KB | kv_est=391.88MB | pt=391.90MB | kv_time=1.481s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:23 | INFO | case=72 | id=mass_56/html/0559-01.html | n_tokens=1247 | text=4.86KB | kv_est=389.69MB | pt=389.71MB | kv_time=1.470s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:33 | INFO | case=73 | id=mass_56/html/0562-01.html | n_tokens=8184 | text=31.72KB | kv_est=2.50GB | pt=2.50GB | kv_time=10.086s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:36 | INFO | case=74 | id=mass_56/html/0577-01.html | n_tokens=2924 | text=11.17KB | kv_est=913.75MB | pt=913.77MB | kv_time=3.249s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:40 | INFO | case=75 | id=mass_56/html/0582-01.html | n_tokens=3889 | text=15.18KB | kv_est=1.19GB | pt=1.19GB | kv_time=4.384s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:41 | INFO | case=76 | id=mass_56/html/0590-01.html | n_tokens=601 | text=2.45KB | kv_est=187.81MB | pt=187.83MB | kv_time=0.743s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:45 | INFO | case=77 | id=mass_56/html/0591-01.html | n_tokens=3588 | text=13.23KB | kv_est=1.09GB | pt=1.09GB | kv_time=4.094s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:47 | INFO | case=78 | id=mass_56/html/0597-01.html | n_tokens=1724 | text=7.11KB | kv_est=538.75MB | pt=538.77MB | kv_time=1.927s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:53 | INFO | case=79 | id=mass_56/html/0600-01.html | n_tokens=5472 | text=22.12KB | kv_est=1.67GB | pt=1.67GB | kv_time=6.235s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:56 | INFO | case=80 | id=mass_56/html/0611-01.html | n_tokens=2351 | text=8.63KB | kv_est=734.69MB | pt=734.71MB | kv_time=2.676s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:51:17 | INFO | case=81 | id=mass_57/html/0001-01.html | n_tokens=14653 | text=56.29KB | kv_est=4.47GB | pt=4.47GB | kv_time=18.962s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:51:42 | INFO | case=82 | id=mass_57/html/0025-01.html | n_tokens=18077 | text=70.72KB | kv_est=5.52GB | pt=5.52GB | kv_time=24.740s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:07 | INFO | case=83 | id=mass_57/html/0058-01.html | n_tokens=18501 | text=73.21KB | kv_est=5.65GB | pt=5.65GB | kv_time=25.141s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:19 | INFO | case=84 | id=mass_57/html/0091-01.html | n_tokens=9412 | text=36.71KB | kv_est=2.87GB | pt=2.87GB | kv_time=11.981s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:29 | INFO | case=85 | id=mass_57/html/0107-01.html | n_tokens=7769 | text=30.78KB | kv_est=2.37GB | pt=2.37GB | kv_time=9.827s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:31 | INFO | case=86 | id=mass_57/html/0121-01.html | n_tokens=1943 | text=7.81KB | kv_est=607.19MB | pt=607.21MB | kv_time=2.361s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:33 | INFO | case=87 | id=mass_57/html/0125-01.html | n_tokens=1973 | text=7.23KB | kv_est=616.56MB | pt=616.58MB | kv_time=2.246s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:38 | INFO | case=88 | id=mass_57/html/0130-01.html | n_tokens=3678 | text=13.87KB | kv_est=1.12GB | pt=1.12GB | kv_time=4.430s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:43 | INFO | case=89 | id=mass_57/html/0137-01.html | n_tokens=4678 | text=18.94KB | kv_est=1.43GB | pt=1.43GB | kv_time=5.525s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:47 | INFO | case=90 | id=mass_57/html/0145-01.html | n_tokens=2763 | text=10.35KB | kv_est=863.44MB | pt=863.46MB | kv_time=3.362s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:49 | INFO | case=91 | id=mass_57/html/0150-01.html | n_tokens=1861 | text=7.11KB | kv_est=581.56MB | pt=581.58MB | kv_time=2.475s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:52 | INFO | case=92 | id=mass_57/html/0154-01.html | n_tokens=2293 | text=8.98KB | kv_est=716.56MB | pt=716.58MB | kv_time=2.988s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:52:55 | INFO | case=93 | id=mass_57/html/0158-01.html | n_tokens=1926 | text=7.78KB | kv_est=601.88MB | pt=601.90MB | kv_time=2.691s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:53:00 | INFO | case=94 | id=mass_57/html/0162-01.html | n_tokens=4095 | text=15.44KB | kv_est=1.25GB | pt=1.25GB | kv_time=5.257s | gpu_alloc=30.45GB gpu_reserved=30.45GB
