2026-05-08 10:03:25 | INFO | mode=benchmark | max_tokens=17000 | reporters=['davis-l-ct-cas', 'mass', 'mass-app-ct', 'mass-app-dec', 'mass-app-div', 'mass-app-div-annual', 'mass-l-rptr', 'mass-supp', 'rec-co-ct', 'rep-cont-el', 'rep-cont-elect-case', 'super-ct-jud']
2026-05-08 10:07:15 | INFO | case=37 | id=mass_5/html/0177-01.html | n_tokens=1903 | text=8.00KB | kv_est=148.67MB | pt=148.70MB | kv_time=0.200s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:16 | INFO | case=38 | id=mass_5/html/0181-01.html | n_tokens=1088 | text=4.85KB | kv_est=85.00MB | pt=85.02MB | kv_time=0.141s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:16 | INFO | case=39 | id=mass_5/html/0183-01.html | n_tokens=2116 | text=9.44KB | kv_est=165.31MB | pt=165.34MB | kv_time=0.226s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:16 | INFO | case=40 | id=mass_5/html/0186-01.html | n_tokens=1694 | text=7.13KB | kv_est=132.34MB | pt=132.37MB | kv_time=0.193s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:16 | INFO | case=41 | id=mass_5/html/0189-01.html | n_tokens=1617 | text=7.06KB | kv_est=126.33MB | pt=126.35MB | kv_time=0.176s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:17 | INFO | case=42 | id=mass_5/html/0192-01.html | n_tokens=3031 | text=12.05KB | kv_est=236.80MB | pt=236.82MB | kv_time=0.541s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:17 | INFO | case=43 | id=mass_5/html/0196-01.html | n_tokens=948 | text=4.45KB | kv_est=74.06MB | pt=74.09MB | kv_time=0.318s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:17 | INFO | case=44 | id=mass_5/html/0198-01.html | n_tokens=170 | text=718.00B | kv_est=13.28MB | pt=13.31MB | kv_time=0.094s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:17 | INFO | case=45 | id=mass_5/html/0199-01.html | n_tokens=215 | text=970.00B | kv_est=16.80MB | pt=16.82MB | kv_time=0.065s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:17 | INFO | case=46 | id=mass_5/html/0200-01.html | n_tokens=1237 | text=5.67KB | kv_est=96.64MB | pt=96.66MB | kv_time=0.211s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:18 | INFO | case=47 | id=mass_5/html/0203-01.html | n_tokens=933 | text=4.11KB | kv_est=72.89MB | pt=72.91MB | kv_time=0.150s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:18 | INFO | case=48 | id=mass_5/html/0204-01.html | n_tokens=1954 | text=8.52KB | kv_est=152.66MB | pt=152.68MB | kv_time=0.281s | gpu_alloc=6.35GB gpu_reserved=6.35GB
